Taxon,BasidiosporeType,BasidiosporeShape,BasidiosporeApex,BasidiosporeLength,BasidiosporeWidth,Qvalue,BasidiosporeOrnamentation,BasidiaShape,BasidiaLength,BasidiaWidth,BasidiaSpored,CheilocystidiaPresence,CheilocystidiaShape,CheilocystidiaLength,CheilocystidiaWidth,CheilocystidiaOxalateCrystals,CheilocystidiaWallThickness,CheilocystidiaAmmoniacalTest,ParacystidiaPresence,ParacystidiaShape,ParacystidiaLength,ParacystidiaWidth,PleurocystidiaPresence,PleurocystidiaShape,PleurocystidiaLength,PleurocystidiaWidth,PleurocystidiaOxalateCrystals,PleurocystidiaWallThickness,PleurocystidiaAmmoniacalTest,ApexCaulocystidiaPresence,ApexCaulocystidiaShape,ApexCaulocystidiaLength,ApexCaulocystidiaWidth,ApexCaulocystidiaOxalateCrystals,ApexCaulocystidiaWallThickness,ApexCaulocystidiaAmmoniacalTest,MedianCaulocystidiaPresence,MedianCaulocystidiaShape,MedianCaulocystidiaLength,MedianCaulocystidiaWidth,MedianCaulocystidiaOxalateCrystals,MedianCaulocystidiaWallThickness,MedianCaulocystidiaAmmoniacalTest,Cauloparacystidia,MacroChemical,Habitat,TreesUnder,PileusDiameterX,PileusDiameterY,BaseOfTheStipe,HydrogenPotential,Sosie,Odor,Subgenera,Section,Subsection,DistinctiveFeatures1,ReferencesSources1,DistinctiveFeatures2,ReferencesSources2,DistinctiveFeatures3,ReferencesSources3
olivaceobrunnea J. Favre,Leiospora,Subamygdaliform,Obtuse,[9.5-11],[6-7],[1.5-1.6],Smooth,Claviform,[32-39],[10-12],[4-4],Yes,Cylindrical | Subfusiform | Subutriform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Cylindrical | Subclaviform,n/a,n/a,Yes,Cylindrical | Subfusiform | Subutriform | Metuloid,[64-109],[17-24],Yes,[2-3],n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Moss,Conifers,[15-27],[15-27],Not bulbous,n/a,n/a,Not distinctive,Inocybe,,,"1) The macroscopical description has been copied from Favre (1. c). As the species was not validy published, lacking the designation of a bomenclatural type (Art. 37.1), it is formally validated here in accordance with Art. 45.1. 2) Easily recognised because of squamulose pileus and broadly adnate to subdecurrent olivaceous brown lamellae.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 117-118",,,,
pallidicremea Grund & D.E. Stuntz,Leiospora,Inequilaterally | Amygdaliform,Obtuse | Subconical,[8-11],[5-5.5],n/a,Smooth,Claviform,[21-25.5],[6.5-9],[4-4],Yes,Ventricose | Metuloid,[60-80],n/a,Yes | No,n/a,n/a,Yes,Claviform | Ventricose,[20-36],[11-16.5],Yes,Ventricose | Metuloid,[36-55],[12-25.5],Yes,[3-4.5],n/a,Yes,Metuloid,[6-90],[10-16],Yes | No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Conifers,[20-40],[20-40],Bulbous,n/a,n/a,Spermatic,,,,"The pale yellow, umbonate, silky-smooth pileus, white stipe pruinose at the apex only, rather small spores, and short, ventricose thick-walled pleurocystidia are the distinguishing characteristics of this Inocybe. It does not match any of the species with short pleurocystidia described by Metrod (Metrod, G. 1956. Les Inocybes leispores a cystides courtes. Bull. Soc. Mycol. France 72 : 123-129), nor can we locate it in other European accounts of Inocybe. Of the American species, it seems most closely related to I. connexa Kauffm., but that species according to its author is ""yellow ochre"", has a farinaceous odor, and its pleurocystidia are prodominantly thin walled.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes IV., Mycologia, vol. 69, 1977; p. 399-400",,,,
"paludicola Kokkonen & Vauras, sp. nov.",Goniospora,Strongly nodulose,Subconical | Conical,[8.2-12.7],[5.9-8.1],[1.2-1.7],Mostly with small nodules,Claviform,[21-42],[9-15],[4-4],Yes,Lageniform | Cylindrical | Fusoid | Claviform | Metuloid,n/a,n/a,Yes | No,[3-5.5],n/a,Yes,n/a,n/a,n/a,Yes,Lageniform | Cylindrical | Fusoid | Metuloid,[44-79],[11-22],Sparse | No,[3-5],n/a,Yes,Cylindrical | Claviform | Fusoid | With septae resembling chains | Metuloid,n/a,n/a,Yes | No,[2-3],n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Pine | Birch | Alder | Willow | Spruce,[22-45],[22-45],Rounded,n/a,n/a,Not distinctive | Spermatic,Clypeus,,,"Inocybe paludicola is a rather large species like I. proximella and I. silvae-herbaceae. It can be easily identified by its characteristic thick-walled caulocystidia, spores with numerous small nodules, small umbo, and specific habitat. In the sequence data, the specimen from Koski Tl. (GenBank JN580874) deviated from the type by a gap of one base.","Kokkonen, Katri; Vauras, Jukka. Eleven new boreal species of Inocybe with nodulose spores, Mycol Progress (2012) 11:299-341; p. 330-331",,,,
parcecoacta Grund & D.E. Stuntz,Goniospora,Polyhedral,Conical | Subconical,[6.5-9],[4.5-6],n/a,4 to 7 rather large nodules,Claviform,[32-36],[8-10],[2-4],Yes,Sublageniform | Lageniform | Claviform | Cylindrical,[90-107],[13-20],No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Ventricose,[58-105],[13-20],No,[0.5-1],n/a,Yes,Ventricose,[60-150],[13-20],No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Moss,Spruce,[15-25],[15-25],Not bulbous,n/a,longicystis ,Aromatic,Clypeus,,,"The distinctive features of this Inocybe are its dark brown, fibrillose pileus with paler brown superficial layer, peronate stipe, aromatic odor, small, sparsely nodulose spores, and large thin-walled, subcapitate cystidia. It resembles I. longicystis Atk., especially in the type of cystidia, but differs markedly in its nonsquarrose pileus, in the conspicuous brown superficial layer that invests both pileus and stipe, in its aromatic odor, and its smaller spores with fewer nodules. Inocybe subcarpta Bours. & Kuehn. is also somewhat similar to I. parcecoacta but differs in having the pileus squamulose, in having almost no odor, and in its somewhat larger and much more nodulose spores.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes IV., Mycologia, vol. 69, 1977; p. 392-394",,,,
pelargonium Kuehner,Leiospora,Regular | Subamygdaliform,Subconical,[6.5-10],[4-6],[1.4-1.9],Smooth,Claviform,[26-35],[8-10],[4-4],Yes,Subutriform | Subfusiform | Fusiform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Subutriform | Subfusiform | Fusiform | Metuloid,[39-70],[11-22],Yes,[1.5-2],n/a,Yes,Subutriform | Subfusiform | Fusiform | Metuloid,n/a,n/a,n/a,n/a,n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Calcareous soil,Spruce | Beech | Oak | Basswood | Poplar,[15-40],[15-40],Submarginate bulbous,n/a,n/a,Pelargonium | Spermatic,Inocybe,,,"1) Inocybe claviger Horak & Bas was said to differ from I. pelargonium in smaller spores and shorter pleurocystidia. Reinvestigation of the type showed the spores to be somewhat larger than indicated (viz. 7.5-8.5 x 4.5-5 microns). Although the pleurocystidia are on average somewhat smaller than in European collections, there is at least some overlap in this characters, so that it cannot be used to separate between I. claviger and I. pelargonium either. For that reason I. claviger is reducedinto synonymy of I. pelargonium. 2) The collection from Warnsveld represents albinistic specimens.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 205-206",,,,
permucida Grund & D.E. Stuntz,Goniospora,Angular,Conical,[7-10],[5-6.5],n/a,6 to 9 moderately large nodules,Claviform-obpyriform,[27-33],[8-11],[4-4],Yes,Ventricose | Metuloid,[61-71.5],[18-24],Yes,n/a,n/a,Yes,Claviform | Obpyriform,[28-38],[8-9],Yes,Ventricose | Metuloid,[50-72],[14-23],Yes,[3.3-5],n/a,Yes,Ventricose | Metuloid,[55-73],[12-25],Yes,n/a,n/a,Yes,Ventricose | Metuloid,[58-86],[15-30],Yes,n/a,n/a,n/a,n/a,Moss,Conifers | Hardwoods,[10-40],[10-40],Submarginate bulbous,n/a,n/a,Green-corn,Clypeus,,,"This Inocybe is related to I. mixtilis (Britz.) Sacc. and to I. trechispora (Berk.) Karst., but differs from both of them in its pungent greencorn odor. It differs further from I. mixtilis in pileal color and in lacking a flat-margined bulb, and from I. trechispora in color of pileus and stipe. The stipe becomes dark brown when dried, as noted by Kuehner for I. praetervisa Bres. (Kuehner, R. 1933. Notes sur le genre Inocybe. Bull. Soc. Mycol. France 49 : 81-121; p. 97) but not black or fuscous as does that of I. xanthomelas Kuehner (ibid., p. 85). Both of the latter two species have spores larger than those of I. permucida.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes VII., Mycologia, vol. 75, 1983; p. 264-265",,,,
personata Kuehner,Leiospora,Inequilaterally | Amygdaliform,Obtuse | Conical | Subconical,[8-10],[5-6],n/a,Smooth,Claviform,[26.5-35],[9-10],[4-4],Yes,Ventricose | Metuloid,n/a,n/a,No,n/a,n/a,Yes,Claviform,[22-38],[9-18],Yes,Ventricose | Metuloid,[50-63],[9-16.5],Yes | No,[2-2.5],n/a,Yes,Versiform,[145-150],[35-50],No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Ground,Hardwoods,[10-27],[10-27],Not bulbous,n/a,n/a,Fungoid | Pelargonium,,,,"The description of our specimen closely matches that given by Kuehner (Kuehner, R. 1955. Complements a la ""Flore Analytique"" (V) Inocybe leiospores cystidies. Bull. Soc. Nat. D'Oyonnax, Mem. Hors ser. 1 : 1-95; p. 93) in spite of having been drawn from a single mature carpophores, with no opportunity to record variations in characteristics. The outstanding feature of this member of the Inocybe obscura complex is the mixture of incarnate and lavender colors in the surface and context of the stipe, shown very strikingly in our specimen. We believe our report to be the first of I. personata from North American.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes V., Mycologia, vol. 72, 1980; p. 681-684",,,,
petchii Boedijn,Goniospora,Globose | Broadly ellipsoidal,Fingered | Spines | Echinulate,[9.4-11.6],[8.5-10.5],[1-1.8],Fingered | Spines | Echinulate,Claviform-obovoid,[29-38],[16-17.4],[4-4],Yes,Ventricose | Fusiform | Metuloid,[39-53],[9.9-13.2],Yes,[2-4.4],n/a,Yes,Claviform | Obovoid,[20-30.8],n/a,Yes,Fusiform | Ovoid | Metuloid,[39-44],[14.5-16],Yes,[3-5],n/a,Yes,Ventricose | Fusiform,[52-61],[14.5-18.9],n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Ground,Deciduous,[8-17],[8-17],Subbulbous,n/a,n/a,Not distinctive,Clypeus,,,n/a,"Kobayashi, Takahito. The taxonomic studies of the genus Inocybe, Beiheft 124, Nova Hedwigia, J. Cramer, Berlin-Stuttgart, 2002, 255 p.; p. 67",Synonymy with Inocybe umbonata Petch,Ann. R. bot. Gdns Peradeniya 6(3): 202 (1917),,
petiginosa (Fr.) Gillet,Goniospora,Subrectangular,Nodular,[5.5-8],[4.5-6],n/a,Many nodules that are obtuse | Not very distinct,Claviform,[22-28],[6-8],[4-4],Yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,[0.5-15],[0.5-15],Claviform,n/a,n/a,n/a,Clypeus,,,n/a,"Bon, Marcel. Cle monographique du genre Inocybe (Fr.) Fr., Documents Mycologiques, Tome XXVIII, Fascicule no 111, juin 1998, 3ieme partie; p. 19",,,,
phaeocomis var. major (S. Petersen) Kuyper,Leiospora,Subamygdaliform,Papilla,[8-11],[5-6],[1.5-1.9],Smooth,Claviform,[25-34],[7-10],[4-4],Yes,Cylindrical | Fusiform | Lageniform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform | Pyriform,n/a,n/a,Yes,Cylindrical | Fusiform | Lageniform | Metuloid,[59-101],[10-18],Yes,[2-3],n/a,Yes | No,Cylindrical | Fusiform | Lageniform | Metuloid,n/a,n/a,n/a,n/a,n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil | Nutrient-rich soil,Basswood | Cottonwood | Spruce,[15-50],[15-50],Not bulbous,n/a,n/a,Subspermatic | Earth-like | Acidulous,Inocybe,,,"In my opinion these two taxa could best be regarded as varieties of one species; up to now bo true intermediates seem to have been found. Should these taxa, however, be valuated as formae, the correct name for var. major becomes f. obscuroides under the present rules (Art. 26.2 & 57.3). These two varieties seem to differ slightly in their ecological requirements, var. major usually coming in earlier successional stages of the vegetation than var. phaeocomis. This ecological difference might help to maintain their relative autonomy.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 138","1) This taxon has so far been knows as I. obscura (Pers.) Gillet. However, there is nothing in Persoon's protologue (Syn. meth. Fung.: 347. 1801) that is suggestive of the presence of violaceous tinges in the stipe. No authentic material of A. obscurus seems to be left in Persoon's herbarium, so that the name must be regarded a nomen dubium. The holotype of I. obscuroides (at K) possesses a rather scaly pileus, (slenderly) cylindrical pleurocystidia without lageniform tendency, and spores that have an apical papilla. It is slightly aberrant because of its (almost) colourless paracystidia. However, the above characters all suggest that I. obscuroides is identical with I. phaeocomis var. major, and not with I. amethystina. 2) Exceptionally variants without violaceous tinges in the stipe can be encountered, e.g. Bas 7872. This collection consisted of several aged specimens, and the violaceous tinges might have been weathered away. No taxonomic importance could be given to this caracter.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 140-142",,
phaeocomis var. phaeocomis (Pers.) Kuyper,Leiospora,Regular | Subamygdaliform,Subconical,[7-10],[4.5-6],[1.4-1.9],Smooth,Claviform,[25-31],[7-10],[4-4],Yes,Cylindrical | Subfusiform | Lageniform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Pyriform,n/a,n/a,Yes,Cylindrical | Subfusiform | Lageniform | Metuloid,[52-86],[10-20],Yes,[1.5-3],n/a,Yes | No,Cylindrical | Subfusiform | Lageniform | Metuloid,n/a,n/a,n/a,n/a,n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Beech | Oak | Blue-beech | Hazel,[10-20],[10-20],Not bulbous,n/a,n/a,Not distinctive | Faintly earth-like | Acidulous,Inocybe,,,"In my opinion these two taxa could best be regarded as varieties of one species; up to now bo true intermediates seem to have been found. Should these taxa, however, be valuated as formae, the correct name for var. major becomes f. obscuroides under the present rules (Art. 26.2 & 57.3). These two varieties seem to differ slightly in their ecological requirements, var. major usually coming in earlier successional stages of the vegetation than var. phaeocomis. This ecological difference might help to maintain their relative autonomy.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 138","1) The nomenclatural aspects of the name Agaricus cincinnatus Fr.: Fr. are discussed on. p. 223. 2) Most collections of this taxon possess paracystidia with somewhat thickened, brown-incrusted walls, but occasionally collections with thin-walled, colourless paracystidia are met. Intermediates do also occur. I regard this character as of minor importance that does not justify the recognition of these variants as a formal taxon. Parallel variation in this character can be observed in var. major.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 138-139",,
phaeodisca var. geophylloides Kuehner,Leiospora,Subamygdaliform,Conical,[8-11],[5-6],[1.6-2],Smooth,Claviform,[28-34],[9-11],[4-4],Yes,Fusiform | Utriform | Lageniform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform | Pyriform,n/a,n/a,Yes,Fusiform | Utriform | Lageniform | Metuloid,[52-70],[12-20],Yes,[1-1.5],n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Ground,Oak | Blue-beech | Hazel | Conifers,[12-21],[12-21],Not bulbous,n/a,n/a,Faint | Subspermatic,Inocybe,,,n/a,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 124",,,,
phaeodisca var. phaeodisca Kuehner,Leiospora,Subamygdaliform | Partly with a suprahilar depression,Conical,[8.5-10.5],[4.5-5.5],[1.7-2],Smooth,Claviform,[24-33],[8-10],[4-4],Yes,Cylindrical | Subfusiform | Subutriform | Sublageniform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Subfusiform | Subutriform | Sublageniform | Metuloid,[46-74],[13-17],Yes,[1.6-2],n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Ground,Beech | Birch | Alder | Oak,[20-35],[20-35],Not bulbous,n/a,n/a,Faint | Subspermatic,Inocybe,,,"The macroscopical description is partly based on the description given by Kuehner (in Bull. Soc. Nat. Oyonnax 9 (Suppl.) 75. 1955). 2) Inocybe phaeodisca var. diosma Reumaux (in Docs mycol. 14 (54-55) : 30. 1984) differs in slender basidiocarps (pileus 20-30 mm; stipe 80-90 x 3-5 mm) and complex smell being a mixture of a goat-like smell and a Pelargonium-smell. This local variant could deserve autonomous taxonomic status, but more material is needed for a better evaluation.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 122-124",,,,
phaeoleuca Kuehner,Leiospora,Inequilaterally | Amygdaliform,Obtuse | Subconical,[8-11],[5-6],n/a,Smooth,Claviform,[27-33],[9-10],[4-4],Yes,Ventricose | Metuloid,[20-35],[8-16],Yes,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Ventricose | Metuloid,[60-75],[12-25],Yes,[3-5],n/a,Yes,Ventricose | Fusiform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Fusiform | Pyriform | Metuloid,[40-45],n/a,Yes | No,n/a,n/a,n/a,n/a,Moss | Needles,Mixed,[35-60],[35-60],Submarginate bulbous,n/a,n/a,Spermatic,,,,"As far as we know, this is the first report of Inocybe phaeoleuca from North America. It is a species readily recognized by the smooth, brown pileus, and white, entirely pruinose stipe with thick-walled metuloid at th base. The Nova Scotian specimens correspond very well to Kuehner's description (Kuehner, R. 1955. Complements a la Flore Analytique V. Inocybe leispores cystidies. Bull. Soc. Nat. D'Oyonnax, Mem. Hors ser. 1. Imprimerie Berthod, Bourg. 95 p.; 45 p.).","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes I., Mycologia, vol. 60, 1968; p. 421-422",,,,
"porcorum Vauras & Kokkonen, sp. nov.",Goniospora,Nodulose | Angular,Subconical | Conical,[9.6-12.1],[6.2-7.9],[1.3-1.7],"With several hemispherical, fairly small nodules",Claviform,[26-41],[9-13],[4-4],Yes,Fusiform | Lageniform | Cylindrical | Metuloid,[40-78],[15-25],Yes | Sparse | No,n/a,n/a,Yes,n/a,n/a,n/a,Yes,Fusiform | Lageniform | Cylindrical | Metuloid,[53-96],[11-24],Yes | Sparse | No,[1-2],n/a,Yes,Lageniform | Metuloid,n/a,n/a,Yes | Sparse | No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,No,n/a,Soil,Pine | Spruce | Birch | Willow,[15-35],[15-35],Subbulbous,n/a,n/a,Acidulous,Clypeus,,,"Inocybe porcorum is characterised by fairly large spores and pleurocystidia, which to some extent resemble those of I. decipiens Bres. However, the latter species has larger spores and caulocystidia over half-way down the stipe. I. curvipes P.Karst., a common species in southern Finland, differs, for example, in its silvery greybrown colour at the stipe base and its pleurocystidia with subacute apices. I. proximella, a species with caulocystidioid hairs tapering to their apices, is more greyish and usually paler in colour, not squamulose, has somewhat smaller spores with larger nodules and smaller Q values, and wider and shorter pleurocystidia on average. In our material of sequenced species, I. proximella is the closest to I. porcorum, but showed as many as 35 deviating bases and 12 insertions/deletions.","Kokkonen, Katri; Vauras, Jukka. Eleven new boreal species of Inocybe with nodulose spores, Mycol Progress (2012) 11:299-341; p. 325-326",,,,
